Operation,Certificate,ProcessingTime(ms),Status
Issue,CERT: 37964,10.521,Issued
Issue,CERT: 82068,10.297,Issued
Issue,CERT: 32580,10.478,Issued
Issue,CERT: 24003,10.408,Issued
Issue,CERT: 74517,10.536,Issued
Issue,CERT: 876,10.424,Issued
Issue,CERT: 31556,10.394,Issued
Issue,CERT: 67922,10.488,Issued
Issue,CERT: 98002,10.362,Issued
Issue,CERT: 6222,10.477,Issued
Issue,CERT: 42646,10.545,Issued
Issue,CERT: 9054,10.225,Issued
Issue,CERT: 88183,10.300,Issued
Issue,CERT: 1861,10.504,Issued
Issue,CERT: 24938,10.451,Issued
Issue,CERT: 59658,10.403,Issued
Issue,CERT: 89439,10.546,Issued
Issue,CERT: 5252,10.282,Issued
Issue,CERT: 70351,10.439,Issued
Issue,CERT: 53987,10.368,Issued
Issue,CERT: 58235,10.490,Issued
Issue,CERT: 21932,10.382,Issued
Issue,CERT: 47246,10.482,Issued
Issue,CERT: 41746,10.416,Issued
Issue,CERT: 75253,10.386,Issued
Issue,CERT: 38125,10.411,Issued
Issue,CERT: 51165,10.555,Issued
Issue,CERT: 67782,10.443,Issued
Issue,CERT: 46402,10.571,Issued
Issue,CERT: 4200,10.299,Issued
Issue,CERT: 49991,10.576,Issued
Issue,CERT: 14513,10.582,Issued
Issue,CERT: 22339,10.516,Issued
Issue,CERT: 96536,10.254,Issued
Issue,CERT: 21440,10.529,Issued
Issue,CERT: 62956,10.104,Issued
Issue,CERT: 2618,10.309,Issued
Issue,CERT: 7221,10.508,Issued
Issue,CERT: 89848,10.422,Issued
Issue,CERT: 94308,10.536,Issued
Issue,CERT: 38762,10.501,Issued
Issue,CERT: 41523,10.385,Issued
Issue,CERT: 47599,10.484,Issued
Issue,CERT: 72996,10.384,Issued
Issue,CERT: 92868,10.608,Issued
Issue,CERT: 97349,10.333,Issued
Issue,CERT: 5485,10.487,Issued
Issue,CERT: 69739,10.452,Issued
Issue,CERT: 5162,10.447,Issued
Issue,CERT: 69002,10.221,Issued
Issue,CERT: 35714,10.430,Issued
Issue,CERT: 51058,10.424,Issued
Issue,CERT: 86898,10.189,Issued
Issue,CERT: 84493,10.279,Issued
Issue,CERT: 96472,10.334,Issued
Issue,CERT: 71561,10.414,Issued
Issue,CERT: 73288,10.472,Issued
Issue,CERT: 45760,10.360,Issued
Issue,CERT: 37204,10.272,Issued
Issue,CERT: 45563,10.187,Issued
Issue,CERT: 32405,10.335,Issued
Issue,CERT: 17912,10.317,Issued
Issue,CERT: 5199,10.316,Issued
Issue,CERT: 42628,10.324,Issued
Issue,CERT: 61909,10.459,Issued
Issue,CERT: 35590,10.400,Issued
